"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2016","3.85","3.85","3.85","3.80","78.95M","-0.26%"
"06/27/2016","3.86","3.79","3.86","3.78","54.84M","0.78%"
"06/24/2016","3.83","3.85","3.87","3.75","87.38M","-0.26%"
"06/23/2016","3.84","3.83","3.95","3.81","159.70M","0.00%"
"06/22/2016","3.84","3.81","3.84","3.79","46.90M","0.52%"
"06/21/2016","3.82","3.85","3.87","3.79","66.43M","-0.52%"
"06/20/2016","3.84","3.84","3.85","3.82","47.31M","0.00%"
"06/17/2016","3.84","3.84","3.86","3.82","104.50M","0.00%"
"06/16/2016","3.84","3.87","3.89","3.82","56.51M","-1.03%"
"06/15/2016","3.88","3.83","3.90","3.82","39.19M","0.78%"
"06/14/2016","3.85","3.82","3.86","3.82","30.75M","0.00%"
"06/13/2016","3.85","3.89","3.90","3.83","54.68M","-2.04%"
"06/08/2016","3.93","3.95","3.95","3.90","32.77M","-0.25%"
"06/07/2016","3.94","3.96","3.96","3.93","28.80M","-0.51%"
"06/06/2016","3.96","3.97","3.98","3.93","27.13M","-0.25%"
"06/03/2016","3.97","3.96","3.99","3.94","45.58M","0.25%"
"06/02/2016","3.96","3.97","3.98","3.93","36.83M","-0.25%"
"06/01/2016","3.97","3.99","4.00","3.96","52.27M","-0.75%"
"05/31/2016","4.00","3.86","4.02","3.85","96.31M","2.83%"
"05/30/2016","3.89","3.87","3.89","3.84","43.68M","0.26%"
"05/27/2016","3.88","3.88","3.90","3.86","23.82M","-0.26%"
"05/26/2016","3.89","3.87","3.90","3.84","34.79M","0.52%"
"05/25/2016","3.87","3.89","3.91","3.86","25.92M","-0.26%"
"05/24/2016","3.88","3.90","3.90","3.86","27.84M","-0.51%"
"05/23/2016","3.90","3.87","3.91","3.87","45.73M","0.78%"
"05/20/2016","3.87","3.84","3.88","3.82","42.43M","0.00%"
"05/19/2016","3.87","3.88","3.91","3.86","39.62M","-0.26%"
"05/18/2016","3.88","3.91","3.92","3.85","59.32M","-1.02%"
"05/17/2016","3.92","3.93","3.94","3.90","28.93M","-0.51%"
"05/16/2016","3.94","3.91","3.95","3.88","34.25M","0.77%"
"05/13/2016","3.91","3.93","3.95","3.90","28.07M","-0.26%"
"05/12/2016","3.92","3.92","3.94","3.87","40.33M","-0.76%"
"05/11/2016","3.95","3.94","3.99","3.90","47.74M","0.25%"
"05/10/2016","3.94","3.90","3.95","3.90","35.15M","0.51%"
"05/09/2016","3.92","4.00","4.01","3.90","75.49M","-2.73%"
"05/06/2016","4.03","4.12","4.17","4.02","83.78M","-2.18%"
"05/05/2016","4.12","4.11","4.14","4.10","42.53M","0.00%"
"05/04/2016","4.12","4.10","4.14","4.09","55.76M","0.24%"
"05/03/2016","4.11","4.05","4.13","4.03","69.23M","1.48%"
"04/29/2016","4.05","4.06","4.07","4.03","35.99M","-0.49%"
"04/28/2016","4.07","4.09","4.10","4.03","40.91M","-0.49%"
"04/27/2016","4.09","4.10","4.13","4.07","44.16M","0.00%"
"04/26/2016","4.09","4.08","4.10","4.04","56.60M","0.00%"
"04/25/2016","4.09","4.11","4.12","4.03","62.50M","-0.97%"
"04/22/2016","4.13","4.11","4.15","4.05","67.76M","-0.24%"
"04/21/2016","4.14","4.15","4.18","4.12","69.13M","-1.19%"
"04/20/2016","4.19","4.34","4.35","4.02","143.70M","-3.46%"
"04/19/2016","4.34","4.37","4.38","4.31","65.61M","-0.23%"
"04/18/2016","4.35","4.39","4.40","4.33","82.43M","-1.58%"
"04/15/2016","4.42","4.47","4.48","4.40","74.85M","-1.12%"
"04/14/2016","4.47","4.47","4.48","4.43","64.75M","0.68%"
"04/13/2016","4.44","4.40","4.50","4.39","140.54M","1.37%"
"04/12/2016","4.38","4.40","4.41","4.35","66.79M","-0.68%"
"04/11/2016","4.41","4.36","4.44","4.36","89.38M","1.61%"
"04/08/2016","4.34","4.37","4.39","4.30","84.89M","-1.81%"
"04/07/2016","4.42","4.50","4.51","4.40","105.60M","-1.34%"
"04/06/2016","4.48","4.50","4.53","4.45","117.34M","-1.10%"
"04/05/2016","4.53","4.50","4.57","4.43","181.35M","-0.44%"
"04/01/2016","4.55","4.39","4.57","4.38","259.37M","3.88%"
"03/31/2016","4.38","4.39","4.48","4.32","154.93M","0.92%"
"03/30/2016","4.34","4.25","4.37","4.24","99.09M","2.84%"
"03/29/2016","4.22","4.32","4.32","4.19","82.14M","-2.54%"
"03/28/2016","4.33","4.35","4.39","4.28","78.45M","-0.46%"
"03/25/2016","4.35","4.38","4.41","4.28","133.34M","-1.14%"
"03/24/2016","4.40","4.49","4.49","4.39","81.63M","-2.44%"
"03/23/2016","4.51","4.46","4.52","4.45","97.54M","0.67%"
"03/22/2016","4.48","4.49","4.52","4.42","157.75M","-0.88%"
"03/21/2016","4.52","4.43","4.60","4.40","248.14M","2.96%"
"03/18/2016","4.39","4.41","4.48","4.34","257.70M","-0.23%"
"03/17/2016","4.40","4.36","4.47","4.33","147.81M","0.69%"
"03/16/2016","4.37","4.29","4.39","4.28","145.55M","1.39%"
"03/15/2016","4.31","4.29","4.33","4.22","62.45M","0.47%"
"03/14/2016","4.29","4.28","4.37","4.24","77.49M","1.18%"
"03/11/2016","4.24","4.18","4.25","4.16","43.04M","0.47%"
"03/10/2016","4.22","4.25","4.29","4.20","46.83M","-1.86%"
"03/09/2016","4.30","4.24","4.33","4.18","105.27M","-1.15%"
"03/08/2016","4.35","4.34","4.36","4.16","119.40M","-0.23%"
"03/07/2016","4.36","4.35","4.42","4.30","98.71M","-0.23%"
"03/04/2016","4.37","4.24","4.40","4.20","222.07M","2.34%"
"03/03/2016","4.27","4.24","4.28","4.21","105.13M","0.47%"
"03/02/2016","4.25","4.12","4.28","4.07","122.05M","4.17%"
"03/01/2016","4.08","4.02","4.13","3.98","62.87M","1.49%"
"02/29/2016","4.02","4.10","4.10","3.89","111.98M","-2.43%"
"02/26/2016","4.12","4.12","4.16","4.06","84.08M","0.98%"
"02/25/2016","4.08","4.39","4.40","4.02","144.12M","-8.52%"
"02/24/2016","4.46","4.30","4.47","4.25","126.80M","2.76%"
"02/23/2016","4.34","4.43","4.43","4.27","115.02M","-2.25%"
"02/22/2016","4.44","4.30","4.47","4.28","146.63M","3.98%"
"02/19/2016","4.27","4.24","4.34","4.21","85.01M","0.00%"
"02/18/2016","4.27","4.28","4.34","4.22","120.06M","0.47%"
"02/17/2016","4.25","4.16","4.28","4.14","126.13M","1.92%"
"02/16/2016","4.17","4.05","4.19","4.03","116.03M","3.99%"
"02/15/2016","4.01","3.94","4.04","3.91","52.62M","-0.99%"
"02/05/2016","4.05","4.12","4.14","4.03","71.60M","-1.94%"
"02/04/2016","4.13","4.10","4.17","4.07","90.79M","1.47%"
"02/03/2016","4.07","4.01","4.13","3.96","74.13M","0.00%"
"02/02/2016","4.07","3.95","4.10","3.93","79.53M","2.78%"
"02/01/2016","3.96","4.03","4.04","3.89","87.06M","-2.22%"
"01/29/2016","4.05","3.91","4.09","3.90","117.03M","3.85%"
"01/28/2016","3.90","3.99","4.08","3.86","88.43M","-4.41%"
"01/27/2016","4.08","4.18","4.21","3.86","143.99M","-1.92%"
"01/26/2016","4.16","4.59","4.59","4.16","150.09M","-9.96%"
"01/25/2016","4.62","4.66","4.69","4.58","73.03M","-0.65%"
"01/22/2016","4.65","4.67","4.68","4.49","105.61M","0.87%"
"01/21/2016","4.61","4.69","4.86","4.60","111.20M","-3.15%"
"01/20/2016","4.76","4.81","4.87","4.71","106.36M","-2.26%"
"01/19/2016","4.87","4.72","4.91","4.67","104.95M","3.18%"
"01/18/2016","4.72","4.62","4.82","4.58","82.15M","0.00%"
"01/15/2016","4.72","4.98","4.98","4.67","147.69M","-5.60%"
"01/14/2016","5.00","4.80","5.06","4.75","142.17M","0.20%"
"01/13/2016","4.99","5.08","5.25","4.97","140.07M","-0.80%"
"01/12/2016","5.03","5.09","5.12","4.96","96.73M","-0.20%"
"01/11/2016","5.04","5.39","5.42","5.00","139.70M","-7.52%"
"01/08/2016","5.45","5.42","5.58","5.13","146.31M","3.42%"
